CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
1,7,1,28,2
52,2,1,1,1
3,1,1,11,1
35,1,1,1,14
2,3,2,1,1
5,2,1,188,1
2,11,1,4,1
17,23,1,45,6
83,1,4,1,24
2,12,63,5,1
5,27,2,1,17
7,1,65,1,1
1,5,8,1,1
31,3,3,4,2
2,3,2,1,5
34,66,1,12,9
4,1,35,12,159
11,13,5,8,1
24,5,72,1,1
2,9,1,4,81
3,28,1,13,27
34,2,1,13,2
14,4,4,1,34
1,3,232,2,145
27,7,2,1,2
5,25,15,10,1
1,3,5,23,31
1,1,14,2,3
5,68,40,20,2
3,1,19,8,1
1,2,56,1,6
1,3,7,1,4
2,3,1,3,23
1,4,134,7,17
17,1,107,5,2
6,2,17,1,1
16,1,17,1,2
11,1,1,1,39
2,2,13,1,5
1,1,1,1,1
4,1,24,1,2
8,1,76,1,2
1,1,1,1,2
8,1,12,2,2
3,1,67,1,147
4,14,8,1,151
1,7,80,1,2
3,3,6,1,1
1,2,3,43,6
1,10,1,14,3
1,23,1,1,41
6,2,1,3,3
1,1,1,1,14
59,3,6,3,18
10,1,1,2,1
1,47,1,5,37
1,9,72,394,12
201,1,1,2,2
39,9,1,1,8
1,14,25,1,1
8,38,12,1,1
10,116,1,2,4
1,81,56,2,9
3,4,12,9,19
20,1,1,1,1
5,6,2,1,13
2,28,1,1,1
2,25,1,1,20
4,1,2,1,45
1,1,2,1,5
1,27,1,1,8
1,1,1,1,71
1,1,1,1,1
4,3,2,2,6
1,2,23,8,52
1,4,9,112,6
58,1,,1,6
1,2,,2,10
14,2,,22,3
2,3,,10,3
2,1,,2,33
1,4,,2,2
21,6,,1,1
1,7,,26,4
17,8,,8,26
1,5,,2,2
1,3,,1,1
2,1,,1,6
3,8,,3,19
11,127,,1,2
2,48,,1,67
21,17,,6,8
1,1,,1,3
2,6,,4,3
1,10,,1,10
37,3,,5,2
1,5,,5,1
33,1,,3,14
3,15,,1,1
2,6,,44,13
28,1,,1,5
30,1,,10,18
3,1,,9,2
6,5,,3,13
15,2,,5,3
10,10,,17,45
2,6,,1,1
12,1,,4,1
2,5,,14,3
4,1,,2,28
4,23,,83,3
4,1,,13,3
51,17,,4,6
20,21,,4,1
1,2,,2,3
3,3,,135,42
17,1,,1,3
13,4,,106,8
2,1,,1,1
25,176,,2,1
2,1,,1,1
11,1,,13,2
8,1,,5,1
1,1,,39,11
5,7,,1,4
11,1,,3,4
33,14,,9,1
1,2,,2,9
9,14,,2,36
25,4,,3,2
1,3,,4,4
39,1,,7,7
1,1,,1,81
2,1,,25,40
77,38,,7,4
19,9,,1,18
15,4,,1,3
16,6,,1,3
3,13,,18,4
3,3,,1,4
1,1,,1,1
1,1,,1,1
1,1,,1,1
6,1,,1,3
319,1,,1,4
2,1,,1,3
6,2,,1,255
5,1,,1,1
2,2,,1,1
12,5,,1,1
1,1,,1,1
1,7,,82,1
2,55,,12,1
2,33,,2,1
29,8,,2,1
18,6,,3,22
16,4,,1,1
1,6,,1,1
1,10,,1,2
2,21,,3,1
1,1,,1,3
1,1,,1,3
1,7,,1,1
1,1,,20,1
3,40,,2,1
7,3,,2,1
1,1,,1,1
14,2,,1,1
2,4,,4,1
5,13,,9,1
1,52,,1,1
1,105,,1,5
5,90,,2,5
24,5,,1,12
24,2,,1,12
3,30,,2,1
29,2,,19,13
5,4,,1,10
3,7,,1,8
3,7,,9,9
14,7,,6,2
15,13,,2,17
19,2,,128,2
78,8,,7,97
2,24,,1,1
1,1,,1,2
1,1,,1,2
1,3,,1,3
1,1,,2,4
47,1,,6,44
2,12,,43,6
16,1,,5,3
1,132,,1,1
6,31,,3,11
11,29,,3,7
3,2,,7,1
3,3,,25,2
30,3,,1,81
9,3,,1,13
3,4,,1,1
1,3,,2,19
72,1,,6,1
45,1,,1,3
3,4,,6,1
28,2,,6,30
1,1,,5,1
6,5,,1,28
1,3,,36,6
1,1,,1,12
