CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
1,1,38,6,13
2,1,10,1,1795
3,1,27,1,5
5,4,7,203,1
6,1,1,29,1
33,1,70,1,1
4,11,83,1,10
6,7,13,1,3
3,2,19,1,79
5,5,3,1,1
1,46,31,1,3
8,1,17,5,3
6,10,14,1,34
63,14,6,2,101
24,1,19,2,2
3,1,4,1,5
158,1,2,1,50
4,1,13,3,23
3,16,31,3,1
1,48,1,1,1
3,62,4,1,5
4,62,4,1,62
6,5,14,1,13
1,6,1,3,4
74,20,1,4,130
5,1,1,1,1
1,3,1,47,1
1,3,1,2,4
3,5,2,1,17
1,1,4,593,11
1,17,52,26,10
1,4,2,15,2
3,1,22,3,1
24,645,4,2,2
1,2,22,3,11
3,1,7,16,6
49,1,1,2,1
31,10,11,21,8
1,3,13,1,1
2,2,20,1,2
1,110,4,1,5
1,34,14,5,2
2,1,1,1,23
2,7,1,1,1
1,3,21,1,2
3,3,1,12,2
1,1,5,6,1
9,6,52,2,9
11,2,29,10,1
89,5,1,1,1
7,3,2,1,1
1,1,2,1,11
1,3,14,1,1
37,2,24,235,17
3,18,1,1,36
1,6,2,159,5
15,18,68,1,1
2,1,1,2,4
76,3,18,8,44
37,1,89,3,10
3,8,7,1,6
1,3,1,1,2
9,3,4,1,7
17,2,8,1,1
2,34,2,1,18
9,2,2,14,1
10,1,30,1,10
30,3,8,2,1
2,3,142,2,14
2,1,2,18,8
4,12,30,1,1
1,1,1,7,1
4,2,7,1,1
35,3,6,7,1
1,2,1,2,1
26,2,2,1,1
7,2,60,1,177
14,1,41,7,9
1,23,1,5,43
2,10,4,15,28
1,2,5,80,10
77,1,8,5,1050
5,4,130,1,1
2,1,33,8,7
18,2,3,6,1
2,1,7,4,1
5,2,42,3,14
1,1,3,1,3
1,1,28,1,3
5,1,1,1,15
379,1,52,3,2
1,2,8,18,4
2,1,3,2,4
2,1,6,52,20
1,1,28,1,1
2,12,1,27,1
4,12,168,6,2
8,2,4,1,1
2,2,1,2,3
1,7,6,1,4
11,1,1,2,2
5,45,3,1,25
4,16,1,1,1
1,1,1,15,1
180,1,8,2,2
1,4,19,1,7
7,26,3,1,11
1,2,5,17,61
1,5,1,1,7
1,5,43,1,4
2,39,2,663,4
1,71,252,2,5
4,137,1,1,16
1,44,1,1,1
1,2,34,8,1
1,2,11,1,3
1,1,17,9,5
2,3,2,3,1
7,4,10,11,1
64,7,95,17,15
1,7,94,10,11
3,7,22,1,1
1,2,24,1,5
12,1,21,19,23
3,8,7,3,3
3,1,22,8,12
85,1,3,4,27
29,226,161,19,42
4,55,62,1,8
4,20,35,113,14
7,1,1,3,6
1,1,4,1,5
2,5,56,7,32
1,1,1,1,3
1,2,155,1,3
1,1,2,4,16
1,10,113,2,1
3,1,52,2,3
5,3,3,1,14
1,2,1,4,4
25,5,2,1,3
12,10,4,14,1
19,1,29,1,1
102,6,3,2,2
1,2,2,2,1
175,3,16,1,2
4,15,61,12,38
50,4,1,1,6
1,9,3,52,1
22,2,1,3,1
4,9,4,5,1
2,2,2,1,8
5,7,7,2,4
78,4,9,6,1
29,3,3,3,1
2,39,12,1,7
6,10,3,2,14
1,1,1,6,22
8,10,3,19,1
4,10,1,30,17
23,1,20,1,1
28,1,2,15,2
4,5,254,5,4
29,6,1,1,12
3,25,1,1,20
1,5,1,5,25
1,27,12,1,3
35,2,1,2,4
30,4,1,1,1
1,1,3,1,34
1,3,2,1,1
2,9,51,4,1
1,7,1,1,6
41,14,1,13,2
12,1,82,1,22
1,1,1,1,3
24,4,16,3,6
2,27,12,640,20
34,50,5,1,1
5,80,48,1,12
13,32,28,2,9
2,1,9,8,1
157,4,100,1,1
2,9,56,19,9
6,1,16,1,1
1,11,1,2,2
7,4,3,3,3
1,1,5,1,1
1,1,53,1,2
1,5,1,10,1
15,6,1,3,1
865,2,140,2,3
1,6,1,1,2
4,1,219,1,18
1,1,22,2,277
1,4,4,22,63
2,3,1,1,50
2,1,11,1,2
1,1,1,1,2
1,478,3,1,1
4,66,2,24,1
2,2,50,4,1
5,27,1,6,1
48,3,2,2,1
21,1,1,6,1
4,7,1,1,1
12,10,16,8,2
1,12,2,201,1
2,11,1,2,6
322,1,1,1,375
9,2,1,2,6
1,5,12,3,2
12,6,10,1,1
6,1,1,4,1
3,4,1,1,3
1,16,2,2,3
1,1,2,1,1
4,1,1,15,1
6,1,1,1,2
1,2,1,1,1
2,1,1,1,1
1,1,1,1,1
2,3,1,1,1
1,11,4,4,2
1,2,1,28,1
2,1,7,1,2
26,22,86,1,13
6,1,21,1,2
2,1,12,1,1
1,13,9,1,1
124,19,1,4,8
3,19,2,2,1
2,15,1,6,1
5,11,8,36,3
