CoreFX,CoreCLR,Roslyn,Rust,Kubernetes,KubernetesSum
,,,,33,0.5189300049
,,,,33,0.5193452194
,,,,33,0.5197604338
,,,,33,0.5201756483
,,,,33,0.5205908628
,,,,33,0.5210060772
,,,,33,0.5214212917
,,,,33,0.5218365062
6,17,4,43,32,0.5222391384
3,16,64,2,32,0.5226417706
14,1,37,20,32,0.5230444028
22,4,3,1,32,0.523447035
3,4,49,14,32,0.5238496672
19,19,1,3,32,0.5242522994
1,8,60,7,32,0.5246549316
33,10,,21,32,0.5250575638
15,4,,4,32,0.525460196
1,48,,18,32,0.5258628282
10,1,,31,32,0.5262654604
4,1,,2,32,0.5266680927
18,,,8,32,0.5270707249
68,,,2,32,0.5274733571
2,,,33,32,0.5278759893
15,,,1,32,0.5282786215
8,,,62,32,0.5286812537
,,,1,32,0.5290838859
,,,1,32,0.5294865181
,,,,32,0.5298891503
,,,,32,0.5302917825
,,,,32,0.5306944147
,,,,32,0.5310970469
,,,,32,0.5314996792
,,,,32,0.5319023114
,,,,32,0.5323049436
,,,,32,0.5327075758
,,,,32,0.533110208
,,,,32,0.5335128402
,,,,32,0.5339154724
,,,,32,0.5343181046
25,1,1,22,31,0.5347081546
2,36,6,1,31,0.5350982045
27,29,42,1,31,0.5354882545
2,1,40,1,31,0.5358783044
1,13,24,21,31,0.5362683544
18,1,47,14,31,0.5366584043
4,10,,5,31,0.5370484543
1,66,,1,31,0.5374385042
4,6,,7,31,0.5378285542
1,,,21,31,0.5382186041
11,,,11,31,0.5386086541
36,,,1,31,0.538998704
,,,12,31,0.539388754
,,,56,31,0.5397788039
,,,,31,0.5401688539
,,,,31,0.5405589038
,,,,31,0.5409489538
,,,,31,0.5413390037
,,,,31,0.5417290537
,,,,31,0.5421191036
,,,,31,0.5425091536
,,,,31,0.5428992035
,,,,31,0.5432892535
,,,,31,0.5436793034
,,,,31,0.5440693534
,,,,31,0.5444594033
,,,,31,0.5448494533
,,,,31,0.5452395033
,,,,31,0.5456295532
,,,,31,0.5460196032
,,,,31,0.5464096531
,,,,31,0.5467997031
,,,,31,0.547189753
,,,,31,0.547579803
,,,,31,0.5479698529
,,,,31,0.5483599029
,,,,31,0.5487499528
,,,,31,0.5491400028
47,1,84,11,30,0.5495174705
4,3,44,21,30,0.5498949382
1,8,1,16,30,0.5502724059
1,82,1,3,30,0.5506498735
4,1,76,2,30,0.5510273412
11,32,14,30,30,0.5514048089
5,4,19,1,30,0.5517822766
23,5,5,20,30,0.5521597443
31,4,2,1,30,0.552537212
13,15,,9,30,0.5529146797
5,94,,3,30,0.5532921474
38,13,,2,30,0.5536696151
5,,,8,30,0.5540470828
1,,,22,30,0.5544245505
16,,,1,30,0.5548020182
22,,,8,30,0.5551794859
3,,,1,30,0.5555569536
,,,1,30,0.5559344213
,,,34,30,0.556311889
,,,,30,0.5566893567
,,,,30,0.5570668244
,,,,30,0.5574442921
,,,,30,0.5578217598
,,,,30,0.5581992274
,,,,30,0.5585766951
,,,,30,0.5589541628
,,,,30,0.5593316305
,,,,30,0.5597090982
,,,,30,0.5600865659
,,,,30,0.5604640336
,,,,30,0.5608415013
,,,,30,0.561218969
,,,,30,0.5615964367
,,,,30,0.5619739044
,,,,30,0.5623513721
,,,,30,0.5627288398
,,,,30,0.5631063075
,,,,30,0.5634837752
,,,,30,0.5638612429
,,,,30,0.5642387106
,,,,30,0.5646161783
,,,,30,0.564993646
7,25,6,11,29,0.5653585314
5,3,1,15,29,0.5657234168
1,5,1,11,29,0.5660883023
13,67,1,1,29,0.5664531877
2,6,2,1,29,0.5668180732
3,1,24,7,29,0.5671829586
68,27,,4,29,0.567547844
6,,,11,29,0.5679127295
2,,,14,29,0.5682776149
1,,,8,29,0.5686425003
1,,,4,29,0.5690073858
2,,,9,29,0.5693722712
1,,,3,29,0.5697371567
1,,,18,29,0.5701020421
1,,,45,29,0.5704669275
49,,,30,29,0.570831813
,,,29,29,0.5711966984
,,,1,29,0.5715615839
,,,1,29,0.5719264693
,,,12,29,0.5722913547
,,,,29,0.5726562402
,,,,29,0.5730211256
,,,,29,0.573386011
,,,,29,0.5737508965
,,,,29,0.5741157819
,,,,29,0.5744806674
,,,,29,0.5748455528
,,,,29,0.5752104382
,,,,29,0.5755753237
,,,,29,0.5759402091
,,,,29,0.5763050946
,,,,29,0.57666998
,,,,29,0.5770348654
,,,,29,0.5773997509
,,,,29,0.5777646363
,,,,29,0.5781295217
,,,,29,0.5784944072
,,,,29,0.5788592926
,,,,29,0.5792241781
,,,,29,0.5795890635
11,36,21,4,28,0.5799413667
24,1,2,15,28,0.5802936699
1,3,20,34,28,0.580645973
23,2,16,13,28,0.5809982762
1,26,2,1,28,0.5813505794
