CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
31,3,27,1,4
24,3,8,7,24
1,1,18,13,2
2,8,11,6,17
11,1,20,1,7
2,6,17,1,2
20,11,28,1,7
18,7,8,2,26
27,5,2,4,6
1,12,24,1,3
11,34,8,2,3
5,38,1,6,2
6,4,11,8,20
4,17,2,1,4
9,4,27,6,9
5,9,49,1,18
6,21,49,17,6
1,7,11,3,53
1,1,11,17,5
11,14,30,1,13
9,1,45,1,5
12,18,10,1,1
12,6,1,1,4
17,8,18,15,7
3,3,24,2,51
2,1,1,1,6
2,4,11,1,15
9,28,45,11,2
7,1,7,1,5
8,5,3,1,3
1,19,2,5,3
31,30,49,2,5
3,41,1,2,16
2,2,1,1,4
3,36,9,2,19
2,1,5,7,4
3,1,18,1,3
3,18,19,2,27
3,7,4,1,113
5,5,5,1,2
4,11,37,2,1
2,15,20,10,17
5,1,1,3,2
3,1,1,1,6
36,5,54,6,6
11,31,10,2,2
1,1,3,3,1
3,6,6,16,62
5,8,4,1,1
11,11,4,7,10
12,15,67,1,4
2,15,4,4,19
197,22,11,1,13
4,6,22,5,111
6,8,8,7,3
2,6,11,1,1
3,2,1,1,27
7,9,9,1,6
30,2,11,6,60
8,6,10,2,58
24,6,2,1,19
15,4,9,1,8
3,6,32,1,9
1,137,20,8,3
14,51,1,6,1
1,12,1,1,11
3,49,1,1,9
1,2,8,3,10
2,1,10,2,1
3,6,4,1,1
1,9,4,4,2
6,13,7,3,58
2,10,3,2,19
1,14,7,23,6
3,30,11,3,21
1,1,3,1,65
1,17,4,1,16
2,8,1,4,7
1,6,39,2,1
32,6,26,2,1
1,7,7,3,27
1,6,3,4,2
13,16,11,2,8
2,1,16,3,10
24,3,36,9,1
9,1,14,1,2
50,3,25,1,3
8,5,2,15,1
4,1,7,5,2
5,5,6,4,2
2,2,5,1,15
3,20,5,2,3
15,4,5,5,4
8,4,6,1,1
44,2,15,7,17
16,60,2,1,6
1,5,3,1,1
3,10,5,1,3
1,27,4,1,1
2,11,30,2,10
5,3,3,3,10
3,6,5,1,4
12,1,12,3,15
1,6,4,4,26
9,31,7,1,4
1,7,4,1,2
2,5,15,1,2
1,8,3,1,1
4,1,3,5,2
8,9,11,17,1
2,5,8,1,12
1,22,2,1,38
19,18,2,1,2
6,52,5,1,12
2,28,21,2,37
1,6,34,63,19
69,8,11,6,1
1,16,1,6,9
12,65,13,10,2
1,6,2,1,1
3,14,1,1,11
53,12,1,1,3
4,9,1,1,26
14,30,1,3,13
4,22,11,49,5
3,5,7,3,4
1,1,42,2,7
11,6,3,7,3
1,4,3,3,4
18,4,1,2,36
58,4,12,1,43
4,1,98,5,9
8,2,14,3,15
1,4,15,1,1
1,1,5,1,6
1,1,12,1,10
1,1,36,2,94
8,1,8,6,30
3,1,11,5,11
6,8,12,8,4
5,1,9,2,41
14,1,19,1,147
14,13,79,5,288
5,10,8,4,4
56,5,69,5,5
8,1,3,2,7
4,13,13,9,11
1,1,9,6,3
2,5,11,3,36
1,16,35,5,29
45,3,1,2,5
2,1,2,5,3
17,1,3,2,24
1,2,27,6,31
2,1,4,1,3
1,6,5,19,1
4,3,4,4,4
38,1,18,4,1
13,5,17,2,9
1,3,37,2,48
2,1,3,1,15
14,1,14,1,4
7,1,5,75,1
3,1,2,4,2
1,24,94,9,1
4,5,83,1,32
7,1,3,1,34
20,13,12,5,7
12,6,31,4,2
7,29,8,3,13
4,5,19,4,2
3,5,84,2,25
1,24,8,1,9
3,20,7,2,29
17,1,17,1,1
7,1,88,1,16
1,3,5,3,8
16,5,8,2,6
2,7,11,5,4
6,2,1,9,27
21,8,8,1,2
11,1,35,4,8
1,4,11,14,1
11,4,8,1,12
4,17,2,2,14
1,3,3,2,4
17,16,5,5,15
3,1,4,1,4
1,12,19,1,9
18,1,6,18,14
3,9,5,1,58
1,2,4,3,5
2,7,39,1,16
5,1,10,1,3
13,13,7,4,2
9,1,17,2,4
3,7,4,3,74
28,2,11,1,1
69,10,1,2,1
9,1,11,5,1
2,1,5,125,2
6,2,13,2,7
7,1,21,22,20
1,4,6,1,2
137,3,79,6,7
15,15,2,5,24
3,42,2,2,3
9,12,8,5,4
16,23,17,1,15
1,6,7,1,2
12,2,4,4,30
14,8,8,1,1
10,7,1,5,3
2,10,28,5,1
1,5,36,1,19
4,1,11,1,37
1,4,22,2,4
1,5,4,2,1
1,19,6,16,1
2,47,6,3,1
1,27,1,1,33
6,3,9,2,26
2,1,1,2,2
1,54,1,2,15
1,10,8,1,3
1,4,1,1,25
1,1,1,1,11
1,1,8,3,12
1,4,46,3,6
1,39,10,13,8
1,8,9,1,5
11,4,11,1,2
56,4,101,1,4
1,8,4,58,2
5,1,8,1,7
11,6,5,1,2
15,6,13,3,7
4,2,43,3,4
5,9,8,5,21
2,10,1,1,5
1,36,24,3,24
2,1,26,1,3
51,14,16,2,1
5,3,85,1,1
1,6,16,1,3
4,3,10,2,4
1,9,113,2,14
6,1,10,7,22
8,1,8,5,9
9,1,8,5,3
1,4,19,2,15
3,2,39,2,1
3,71,12,33,61
30,55,1,2,1
2,5,2,2,1
22,15,4,1,10
10,4,5,2,5
1,1,39,2,7
5,1,9,2,1
12,3,11,1,1
1,3,8,1,4
3,15,7,5,7
1,5,78,1,20
10,9,15,1,7
14,7,1,2,12
1,1,64,2,3
7,8,1,3,6
1,5,14,1,12
3,11,1,44,15
3,9,98,2,8
10,21,79,1,3
3,1,16,2,3
3,24,31,21,1
8,8,9,6,3
1,9,3,1,7
12,1,3,1,13
12,1,27,5,5
31,23,114,1,2
2,5,7,1,81
1,1,1,1,1
1,37,2,13,40
18,3,36,1,12
29,69,12,4,1
2,4,7,1,2
13,17,12,1,4
14,22,11,2,1
3,4,13,6,1
25,6,16,26,1
14,1,85,4,1
4,13,2,1,22
1,5,8,2,1
5,1,15,3,1
6,5,8,17,1
4,1,3,5,5
2,4,8,2,5
