CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
1,14,18,2,2
45,1,8,239,29
1,1,29,6,1
5,22,1,28,5
1,1,6,1,109
1,1,117,9,56
1,3,156,1,2
19,1,38,1,27
1,9,1,4,3
25,2,18,1,1
34,3,123,1,4
6,161,2,7,10
1,140,3,1,68
1,6,215,2,5
1,5,3,1,10
1,2,27,1,488
5,1,1,1,16
17,2,3,21,4
1,3,2,390,1
4,18,1,76,1
24,9,1,5,4
2,2,6,2,31
1,9,58,19,1
5,2,2,25,9
46,3,1,1,2
7,1,13,6,1
2,4,12,42,16
2,2,2,73,9
2,1,33,1,12
51,3,146,1,37
3,3,15,1,16
27,16,6,3,1
3,12,1,1,1
8,1,16,1,1
2,2,23,1,1
13,7,15,65,1
6,2,13,26,1
9,55,1,35,1
12,1,1,2,35
9,6,1,4,1
2,5,7,1,50
2,11,1,39,3
6,1,1,3,1
1,1,1,4,1
1,2,1,1,68
1,5,1,1,62
1,40,1,1,1
8,36,1,3,1
2,1,1,1,2
1,3,1,2,37
1,1,1,6,6
1,14,50,59,1
2,1,2,1,6
3,1,91,1,5
7,3,1,3,60
1,1,3,2,11
1,3,53,2,1
14,1,16,1,25
1,20,2,38,2
1,2,1,1,1
327,7,8,46,11
9,1,1,6,1
1,15,141,6,4
4,21,1,2,3
1,6,110,3,1
1,5,1,1,2
1,1,34,1,61
1,2,21,2,1
1,1,28,1,1
1,33,9,6,111
8,7,27,28,36
1,1,11,2,1
1,5,1,163,7
3,66,124,2,1
1,76,88,14,17
1,36,43,19,1
1,2,1,1,8
1,1,8,2,48
1,1,101,5,94
1,11,1,3,2
1,29,112,4,1
1,4,2,16,1
52,2,62,1,1
127,5,5,302,1
2,5,1,22,2
3,9,1,8,1
4,2,9,1,1
1,2,47,2,20
1,4,3,1,27
60,4,7,39,20
6,5,39,2,1
2,2,1,27,58
2,43,121,5,226
1,1,1,26,9
1,8,2,71,1
1,1,1,2,71
18,4,2,1,1
7,3,1,1,57
9,1,10,2,8
1,2,22,1,2
39,247,5,4,12
116,186,18,46,4
2,1,1,7,1
51,21,1,38,21
7,3,1,3,10
11,2,3,3,1
1,11,2,16,2
45,4,3,10,1
45,2,1,1,31
15,33,1,1,3
1,7,1,2,1
7,3,1,1,7
5,2,1,1,3
7,11,35,13,2
42,3,1,50,255
2,1,108,4,1
13,1,6,1,1
66,1,3,2,65
5,24,38,58,1
2,4,1,71,3
1,15,14,6,1
1,3,1,4,1
56,1,1,1,36
11,2,125,3,1
2,23,4,3,1
67,4,89,26,1
58,1,1,36,10
2,1,13,1,113
2,1,14,165,2
82,4,2,2,5
30,59,27,12,185
3,1,6,2,2
6,1,32,1,8
15,1,11,1,3
4,6,103,5,1
1,4,109,2,37
16,1,47,4,8
5,32,8,7,97
5,3,88,1,94
7,2,1,1,65
8,6,51,1,1
1,12,3,37,8
1,6,9,2,1
4,36,57,1,1
1,57,6,322,5
3,6,3,19,26
1,2,3,9,39
2,14,1,1,1
1,1,6,24,2
3,2,45,26,4
1,2,1,1,19
3,1,12,10,2
3,1,1,36,3
3,1,8,82,1
1,4,1,1,10
